X,Y,OBJECTID,codigo,uf,codigo_anterior,regime,enquadramento,responsavel,latitude,longitude,corpo_hidrico,Ano_1,Cont_1,Media_1,Min_1,Max_1,Stddev_1,Variance_1
-38.7174719999999,-12.575861,1348,RCNPTN100,BA,,lotico,12,INGÁ,-12.575861,-38.717472,Rio Pitinga,2017,8,30.55,16.5,39.4,9.29285439771564,86.357142857143
-38.0330559999999,-12.257778,1349,RCNSAP300,BA,,lotico,12,INGÁ,-12.257778,-38.033056,Rio Sauípe,2017,8,71.95,70.4,73.3,1.27503501352469,1.62571428571391
-37.9124169999999,-12.3824999999999,1350,RCNSAP900,BA,,lotico,12,INGÁ,-12.3825,-37.912417,Rio Sauípe,2017,8,67.55,64.9,72.5,3.19776707808957,10.2257142857135
-37.912583,-12.3833329999999,1351,RCNSAP925,BA,,lotico,12,INGÁ,-12.383333,-37.912583,Rio Sauípe,2017,8,63.95,62.1,67.9,2.49170050940554,6.20857142857182
-38.518333,-12.994722,1352,RCNSEI300,BA,,lotico,12,INEMA,-12.994722,-38.518333,dos Seixos,2017,6,53.6666666666667,41.9,67.8,11.727005869644,137.522666666665
-38.557833,-12.674861,1353,RCNSPA100,BA,,lotico,12,INGÁ,-12.674861,-38.557833,Rio São Paulo,2017,6,43.4,39.2,46.8,3.45485166107021,11.9359999999996
-38.8677499999999,-12.366056,1354,RCNSUB140,BA,,lotico,12,INGÁ,-12.366056,-38.86775,Rio Subaé,2017,8,38.3,29.7,47.6,7.96958504028196,63.514285714286
-38.800556,-12.432222,1355,RCNSUB160,BA,,lotico,12,INGÁ,-12.432222,-38.800556,Rio Subaé,2017,8,58375,43.7,66.7,9.38003198288791,87.9850000000001
-38.7404999999999,-12.5163889999999,1356,RCNSUB300,BA,,lotico,12,INGÁ,-12.516389,-38.7405,Rio Subaé,2017,8,68.1,63.2,71.8,3.93155730686218,15.4571428571414
-38.727111,-12.539417,1357,RCNSUB550,BA,,lotico,12,INGÁ,-12.539417,-38.727111,Rio Subaé,2017,8,61.35,57.8,64.3,2.47790233867276,6.13999999999994
